STUDBME1,STUDBME2,STUDBME3,CMP-lab1,CMP_LAB1,Sbme-Staff,CUFE,bdawy,CIVil-2022,Location
-72.0,-33.0,-100.0,-66.0,-66.0,-100.0,-100.0,-100.0,-100.0,class1
-64.0,-24.0,-100.0,-64.0,-63.0,-100.0,-70.0,-73.0,-100.0,class1
-100.0,-38.0,-100.0,-100.0,-64.0,-100.0,-100.0,-77.0,-71.0,class1
-61.0,-36.0,-100.0,-61.0,-67.0,-100.0,-100.0,-75.0,-70.0,class1
-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-76.0,-100.0,-70.0,class1
-61.0,-47.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,class2
-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-64.0,class2
-100.0,-41.0,-100.0,-64.0,-68.0,-100.0,-100.0,-100.0,-65.0,class2
-100.0,-100.0,-100.0,-68.0,-69.0,-100.0,-100.0,-100.0,-64.0,class2
-60.0,-37.0,-100.0,-61.0,-66.0,-100.0,-100.0,-79.0,-67.0,class2
-60.0,-100.0,-100.0,-59.0,-68.0,-100.0,-75.0,-73.0,-100.0,class2
-60.0,-37.0,-100.0,-57.0,-100.0,-100.0,-100.0,-78.0,-66.0,class2
-61.0,-41.0,-100.0,-57.0,-100.0,-100.0,-100.0,-76.0,-100.0,class2
-62.0,-39.0,-100.0,-61.0,-65.0,-100.0,-100.0,-79.0,-65.0,class2
-54.0,-36.0,-100.0,-62.0,-100.0,-100.0,-82.0,-83.0,-100.0,class2
-68.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-81.0,-100.0,class2
-54.0,-100.0,-100.0,-66.0,-100.0,-100.0,-77.0,-84.0,-71.0,class2
-100.0,-44.0,-100.0,-61.0,-72.0,-100.0,-100.0,-80.0,-69.0,class2
-58.0,-100.0,-100.0,-66.0,-64.0,-100.0,-75.0,-79.0,-61.0,class2
-57.0,-48.0,-100.0,-70.0,-100.0,-100.0,-100.0,-83.0,-68.0,class2
-55.0,-45.0,-100.0,-66.0,-100.0,-100.0,-100.0,-79.0,-63.0,class2
-53.0,-45.0,-100.0,-67.0,-62.0,-100.0,-77.0,-81.0,-71.0,class2
-53.0,-42.0,-100.0,-61.0,-68.0,-100.0,-79.0,-100.0,-67.0,class2
